id,slug,name,category,subcat,address,phone,tags,recommended,editorial,images
TCL-0111,fumei,富美香雞排,點心,雞排炸物,宜蘭縣頭城鎮城北里開蘭路177號,0979-380-730,2021頭城雞排王｜冷氣內用區,雞排｜米血,2021 頭城雞排王，不只雞排要吃，米血也別漏掉。雞排當然是主角，但我覺得真正要看一家炸物店功力，米血也很重要。夏天還有一個小小的冷氣內用區。,assets/images/fumei-1.webp｜assets/images/fumei-2.webp｜assets/images/fumei-3.webp
TCL-0112,egen,E世代香雞排,點心,雞排炸物,宜蘭縣頭城鎮城東里開蘭路179號,03-977-9822,學生族愛店｜開蘭路雞排,雞排,就在富美香雞排隔壁，兩家雞排風格不太一樣，在頭城也各有自己的擁戴者。尤其學生族群對 E世代很熟，放學後來份雞排，就是不少頭城學生的日常。至於老闆嘛……長得有點像葉問。,assets/images/egen-3.webp｜assets/images/egen-1.webp｜assets/images/egen-2.webp
TCL-0113,taimei,台妹炸雞翅－頭城站前店,點心,炸雞炸物,宜蘭縣頭城鎮民鋒路6-2號,03-977-0313,站前｜現買現吃,雞翅｜雞腿｜酥皮五花肉｜全家餐,雖然是連鎖店，但這間台妹很有「頭城站前」自己的味道。買完不用急著帶走，外面就有一張小小的桌子，炸物就是要剛起鍋趁熱吃才對。,assets/images/taimei-1.webp｜assets/images/taimei-2.webp｜assets/images/taimei-3.webp
TCL-0114,weijia,魏家食府,餐廳,宜蘭辦桌菜,宜蘭縣頭城鎮城北里纘祥路38號,03-977-1785,第二代傳承｜宜蘭辦桌菜,西魯肉｜糕渣｜金棗糕｜鴨賞｜櫻花蝦炒飯,想吃宜蘭辦桌菜，不一定真的要等人家辦喜宴。老老闆以前是有名的中園總舖師，現在手藝傳承給第二代。西魯肉、糕渣、金棗糕、鴨賞都可以點，但別忘了櫻花蝦炒飯。,assets/images/weijia-1.webp｜assets/images/weijia-2.webp｜assets/images/weijia-3.webp
TCL-0115,chaomaji,潮麻吉－頭城開蘭店,點心,雞排炸物,宜蘭縣頭城鎮城西里開蘭路85-1號,03-977-5007,多口味雞排｜星期五公休,鹽酥雞｜甘梅地瓜｜辣味雞排,口味選擇很多，辣味是真的有辣；鹽酥雞無骨又飽滿，甘梅地瓜甚至什麼粉都不加就很好吃。老闆選星期五公休，是因為星期五有頭城夜市，附近小吃店也就不跟夜市搶生意。,assets/images/chaomaji-1.webp｜assets/images/chaomaji-2.webp｜assets/images/chaomaji-3.webp
TCL-0116,hito,Hito石花凍,點心,石花凍甜品,宜蘭縣頭城鎮城南里和平街60號,0935-956-770,頭城老街｜得獎甜品,石花凍,頭城老街上少數有營業的店面，用料真材實料，一喝就知道。店面有濃濃的古樸風，室內涼涼的，也有可以坐下來慢慢享用的空間。曾榮獲「宜蘭十大好食好物」最佳甜品獎，以及「宜蘭縣第一屆特別產品獎」。,assets/images/hito-1.webp｜assets/images/hito-2.webp｜assets/images/hito-3.webp
TCL-0201,tcl-0201,台灣第一家鹽酥雞,點心,鹽酥雞,宜蘭縣頭城鎮城南里開蘭路90號,0930-698-569,鹽酥雞｜炸物｜晚餐｜宵夜,鹽酥雞｜雞排,開蘭路上的鹽酥雞攤，傍晚開始營業，炸物、雞排與各式配料選擇齊全。,assets/images/taiwan-first-yansuji-1.webp｜assets/images/taiwan-first-yansuji-2.webp｜assets/images/taiwan-first-yansuji-3.webp
TCL-0202,tcl-0202,頭城第一家鹽酥雞,點心,鹽酥雞,宜蘭縣頭城鎮城北里民鋒路1-3號,03-977-8130,鹽酥雞｜炸物｜下午茶｜晚餐,鹽酥雞,民鋒路上的鹽酥雞店，下午三點開始營業，炸物櫃裡品項不少，適合下午到晚餐時間外帶。,assets/images/toucheng-first-yansuji-1.webp｜assets/images/toucheng-first-yansuji-2.webp｜assets/images/toucheng-first-yansuji-3.webp
TCL-0203,tcl-0203,布丁雞排,點心,雞排炸物,宜蘭縣頭城鎮城北里開蘭路91號,03-977-7578,雞排｜炸物｜晚餐｜宵夜｜可電話訂餐,雞排,開蘭路上的炸物老店，可以先電話訂餐，時間差不多再到店付款取貨，省去現場久候。,assets/images/buding-chicken-1.webp｜assets/images/buding-chicken-2.webp｜assets/images/buding-chicken-3.webp
TCL-0204,tcl-0204,香好佳雞排,點心,雞排炸物,宜蘭縣頭城鎮金面里青雲路二段273號,03-977-6543,雞排｜炸物｜晚餐｜外帶,雞排,青雲路二段上的雞排炸物店，下午四點開始營業，炸物與串類選擇不少。,assets/images/xianghaojia-chicken-1.webp｜assets/images/xianghaojia-chicken-2.webp｜assets/images/xianghaojia-chicken-3.webp
TCL-0205,tcl-0205,志明與春嬌炸物店,點心,炸物,宜蘭縣頭城鎮城北里沙成路97號,暫無公開電話,炸物｜週末限定｜下午茶｜外帶,炸物,沙成路上的炸物攤車，目前主要在週末營業；週六到晚上十點，週日到晚上八點。,assets/images/zhiming-chunjiao-1.webp｜assets/images/zhiming-chunjiao-2.webp｜assets/images/zhiming-chunjiao-3.webp
TCL-0206,tcl-0206,珍湘碳烤,點心,碳烤,宜蘭縣頭城鎮城東里民鋒路78-4號,0921-823-477,碳烤｜串燒｜晚餐｜宵夜,碳烤｜雞排,民鋒路上的晚間碳烤店，每天傍晚六點半開始營業，炸物與碳烤串類都有。,assets/images/zhenxiang-bbq-1.webp｜assets/images/zhenxiang-bbq-2.webp｜assets/images/zhenxiang-bbq-3.webp
TCL-0208,tcl-0208,羽鹿炭烤,點心,碳烤,宜蘭縣頭城鎮武營里協天路842號,0928-463-754,炭烤｜串燒｜晚餐,串燒,協天路上的炭烤店，店內有座位與晚間氛圍，主打各式串燒與烤物。,assets/images/yulu-bbq-1.webp｜assets/images/yulu-bbq-2.webp｜assets/images/yulu-bbq-3.webp
TCL-0209,tcl-0209,珍珍燒烤店,點心,燒烤,宜蘭縣頭城鎮城東里和平街131號,0918-964-248,燒烤｜炸物｜宵夜｜跨日營業,燒烤｜炸物,和平街上的晚間燒烤店，每晚七點半開始營業到凌晨兩點，是頭城少數營業到深夜的炸物／燒烤選擇。,assets/images/zhenzhen-bbq-1.webp｜assets/images/zhenzhen-bbq-2.webp｜assets/images/zhenzhen-bbq-3.webp
TCL-0117,tjuku-wushi,啾咕咖啡 烏石港店,咖啡,咖啡甜點,宜蘭縣頭城鎮港口里港墘路60號2樓,03-977-2158,LGBTQ+ 友善空間｜烏石港,咖啡｜甜點,位在烏石港旁的咖啡空間，窗邊可以望向港區，適合喝咖啡、吃甜點，慢慢坐上一段時間。也是 LGBTQ+ 友善空間。,assets/images/tjuku-wushi-1.webp｜assets/images/tjuku-wushi-2.webp｜assets/images/tjuku-wushi-3.webp
TCL-0118,steamed-dumpling-auntie,蒸餃阿姨,餐廳,早餐／蒸餃,宜蘭縣頭城鎮開蘭路57號,0916-892-115,2026《500碗》2碗｜頭城早餐,綜合蒸餃,榮獲 2026《500碗》2碗殊榮。早上六點開始營業，八點之後建議先打電話預約；綜合蒸餃絕對必點。,assets/images/steamed-dumpling-auntie-1.webp｜assets/images/steamed-dumpling-auntie-2.webp｜assets/images/steamed-dumpling-auntie-3.webp
TCL-0119,honey-bun,謝家蜜之蜜手工包子店,餐廳,早餐／包子,宜蘭縣頭城鎮拔雅里吉祥路72號,03-977-7519,每天現包現蒸｜頭城早餐,肉包｜奶酥包｜無糖豆漿,每天現包現蒸，肉包跟奶酥包都是別家吃不到的口味，無糖豆漿也非常好喝。,assets/images/honey-bun-1.webp｜assets/images/honey-bun-2.webp｜assets/images/honey-bun-3.webp
TCL-0120,breakfast-truck,頭城發財車無名炒麵早餐,餐廳,早餐／小吃,宜蘭縣頭城鎮拔雅里吉祥路96-3號,,第二代接手｜發財車早餐,米粉焿｜炒麵｜油豆腐,已由第二代接手，早上六點開賣，也常常很早就賣完，賣完老闆就收一收回家。米粉焿、炒麵會淋上滷肉和特製甜辣醬，在滷肉鍋中一起滷的油豆腐必加。沒有桌子，旁邊幾張椅子坐下來就能開吃，連保麗龍碗都很有復古感。,assets/images/breakfast-truck-1.webp｜assets/images/breakfast-truck-2.webp｜assets/images/breakfast-truck-3.webp
TCL-0121,xuxu-floral,煦栩花藝設計,生活服務,花藝設計,宜蘭縣頭城鎮復興路63-1號,0917-779-037,2023/10/15 開幕｜德國花藝師 FDF/IHK,花束｜花藝設計,2023年10月15日開幕，前身是在開蘭路上的櫻竹花店。老闆娘曾遠赴德國取得德國花藝師 FDF/IHK 證照，從老店的地方記憶延續成現在的花藝設計空間。,assets/images/xuxu-floral-1.webp｜assets/images/xuxu-floral-2.webp｜assets/images/xuxu-floral-3.webp
TCL-0122,beer-coffee-wine,啤 咖 酒,餐廳,酒吧／咖啡,宜蘭縣頭城鎮城東里和平東路37號,0906-251-010,LGBTQ+ 友善空間｜精釀啤酒,啤酒｜咖啡,啤酒、咖啡與音樂收藏交織在一起的個性空間，店裡從酒櫃、音響到各式收藏都有老闆自己的味道，也是 LGBTQ+ 友善空間。,assets/images/beer-coffee-wine-1.webp｜assets/images/beer-coffee-wine-2.webp｜assets/images/beer-coffee-wine-3.webp
TCL-0123,kanea,Kanea廚房-餐酒小館,餐廳,義式料理／餐酒館,宜蘭縣頭城鎮拔雅里吉祥路220號,0901-305-805,約會聚餐｜慶祝聚會,義大利麵｜燉飯｜提拉米蘇,藏在吉祥路上的餐酒小館。義大利麵風味十足，燉飯走濃郁路線，店內有小館子的溫度，氣氛舒服又帶點浪漫，很適合約會或找個理由來慶祝一下。,assets/images/kanea-1.webp｜assets/images/kanea-2.webp｜assets/images/kanea-3.webp
TCL-0124,happy-rentstation,開心RentStation頭城店 單車｜機車補給站,生活服務,租車／交通,宜蘭縣頭城鎮城東里開蘭路120號,0902-112-299,租車｜單車｜機車補給站｜頭城移動,租腳踏車逛頭城,頭城租車第一首選，款式多、活動多、價格合理。來頭城，租腳踏車移動超級方便。看老闆今天穿的衣服上面印星期幾，今天就是星期幾。,assets/images/rentstation-1.webp｜assets/images/rentstation-2.webp｜assets/images/rentstation-3.webp
TCL-0125,guangyi-station,光驛站,餐廳,咖啡／燒烤／餐酒,宜蘭縣頭城鎮武營里青雲路三段502之1號,0903-003-948,LGBTQ+友善｜女性業主｜燒烤｜餐酒,牛肉麵｜啤酒｜燒烤,牛肉麵必點，老闆娘在的話要記得點啤酒跟燒烤。,assets/images/guangyi-1.webp｜assets/images/guangyi-2.webp｜assets/images/guangyi-3.webp
TCL-0126,woosbar,水旅居餐廳＋露營車露營,餐廳,簡餐／露營車,宜蘭縣頭城鎮文化路205巷38-1號,0912-581-913,露營車｜簡餐｜啤酒｜建議訂位,滷味｜簡餐｜啤酒,建議事先訂位，滷味超級好吃，餐點以簡餐類為主，也有好喝的啤酒。老闆非常幽默，來吃飯有時候連聊天都是套餐的一部分。,assets/images/woosbar-1.webp｜assets/images/woosbar-2.webp｜assets/images/woosbar-3.webp
TCL-0127,ruyi-snack,如意小吃,餐廳,早餐／小吃,宜蘭縣頭城鎮城北里纘祥路56號,03-977-4828,在地早餐｜乾麵｜小菜｜料理台乾淨,乾麵｜小菜｜湯品,超級乾淨的料理台，頭城在地人的早餐選擇。,assets/images/ruyi-1.webp｜assets/images/ruyi-2.webp｜assets/images/ruyi-3.webp
TCL-0128,wubai-stirfry,伍佰快炒,餐廳,快炒／合菜,宜蘭縣頭城鎮城北里纘祥路54號,03-978-0021,快炒｜合菜｜炒飯｜四菜一湯,390元四菜一湯｜炒飯,各式快炒都難不倒老闆，最喜歡他390元四菜一湯的組合！炒飯非常讚！5566的王仁甫必點。,assets/images/wubai-1.webp｜assets/images/wubai-2.webp｜assets/images/wubai-3.webp
TCL-0129,wootea-toucheng,五桐號 WooTea 宜蘭頭城店,飲料,茶飲,宜蘭縣頭城鎮城南里青雲路三段82號,03-977-8065,手搖飲｜茶飲｜連鎖品牌,小芋圓清茶,真心推薦小芋圓清茶，兩位老闆娘都很幽默。,assets/images/wootea-1.webp｜assets/images/wootea-2.webp｜assets/images/wootea-3.webp
TCL-0130,toucheng-pharmacy,頭城藥局,醫療照護,健保藥局,宜蘭縣頭城鎮城東里開蘭路134號,03-977-0618,在地老店｜社區服務｜偏鄉送藥｜健保藥局,,在頭城服務超過一甲子的老藥局。從創辦人楊哲雄，到第二代林文奎藥師，頭城藥局不只是買藥的地方。轉型健保藥局後，也協助老人家預約掛號、提供偏鄉送藥等服務。對不少頭城人來說，這間開蘭路上的藥局，早已是生活裡熟悉的一部分。,assets/images/toucheng-pharmacy-1.webp｜assets/images/toucheng-pharmacy-2.webp｜assets/images/toucheng-pharmacy-3.webp
TCL-0131,donburi-minfeng,丼飯,餐廳,丼飯,宜蘭縣頭城鎮民鋒路78-2號,0981-482-100,丼飯｜現點現做｜售完為止,牛五花丼飯｜羊肉丼｜豬五花丼｜去骨雞腿丼,現點現做的大份量丼飯，每份120元。主餐可選牛五花、羊肉、豬五花或去骨雞腿，搭配兩樣青菜、雪白菇，再從半熟太陽蛋與蔥蛋二選一；每日售完為止。,assets/images/donburi-1.webp｜assets/images/donburi-2.webp
TCL-0132,aqua-teashop,AQUA 水瓶,飲料,精品茶飲,宜蘭縣頭城鎮城西里沙成路101號,03-977-0047,精品茶飲｜台灣茶｜職人茶飲,酸辣湯,台灣在地精品茶葉，透過現代淬鍊手法，把水與茶做成一杯杯有自己個性的飲品。頭城人一定要推他的「酸辣湯」——先說好，是飲料，不是湯。,assets/images/aqua-1.webp｜assets/images/aqua-2.webp｜assets/images/aqua-3.webp
TCL-0133,wuming-sugarcane-ice,吳銘小棧｜甘蔗冰,點心,冰品甜品,宜蘭縣頭城鎮城北里開蘭路137號,03-978-9137,甘蔗冰｜芋頭｜花豆｜珍珠假日限定,甘蔗冰｜芋頭｜花豆｜假日限定珍珠,珍珠是假日限定，記得加點芋頭跟花豆！,assets/images/wuming-1.webp｜assets/images/wuming-2.webp｜assets/images/wuming-3.webp
TCL-0134,xingfu-manwei,幸福滿味食堂,餐廳,海鮮／飯麵,宜蘭縣頭城鎮頭濱路二段92號,0981-764-767,海鮮料理｜炒飯｜女性業主｜附停車場,海鮮麵｜炒飯,業主為女性的商家。海鮮料理新鮮又美味，海鮮麵和炒飯份量十足；餐點價格合理，現場也有停車場。,assets/images/xingfu-manwei-1.webp｜assets/images/xingfu-manwei-2.webp｜assets/images/xingfu-manwei-3.webp
TCL-0135,now-coffee,當下咖啡,咖啡,精品咖啡／自家烘焙,宜蘭縣頭城鎮復興路38-1號,0927-368-698,極淺焙｜淺焙｜自家烘焙｜Uber Eats,手沖咖啡｜自家烘焙咖啡豆,以極淺焙與淺焙精品咖啡為主，現場常備10～12款自家烘焙咖啡豆。來到當下，不需要很懂咖啡，只要找到自己喜歡的香氣就好。還有一件很「頭城」的小事：馬路對面就是煦栩花藝設計，當下咖啡老闆煮到新豆子的時候，常會順手多煮一壺，過個馬路分給煦栩花藝設計的老闆娘喝。兩間店隔著一條復興路，用一壺咖啡敦親睦鄰。,assets/images/now-coffee-1.webp｜assets/images/now-coffee-2.webp｜assets/images/now-coffee-3.webp
TCL-0136,amao-noodles,阿茂麵攤,小吃,麵店,宜蘭縣頭城鎮新建里東興街59號,0953-823-468,乾麵｜瓜仔雞湯｜在地老味道,乾麵｜瓜仔雞湯,老闆很幽默，原本在青雲路開店，一路做到退休。本來以為就這樣收山了，沒想到休息一陣子，大概是真的閒不住，又在自家門口重新擺起麵攤。想吃阿茂的老味道，乾麵一定要點，再配一碗瓜仔雞湯，就是熟客記得的那一套。,assets/images/amao-1.webp｜assets/images/amao-2.webp｜assets/images/amao-3.webp
TCL-0146,lucas-bistro,Lucas Bistro 酒龜88餐酒館,餐廳,餐酒館,宜蘭縣頭城鎮環鎮東路二段373號,0980-777-178,寵物友善｜LGBTQ+友善｜深夜,,位在開蘭行旅一樓商店街，是寵物友善、LGBTQ+ 友善空間。下午適合一個人喝茶看書聽音樂，夜晚則適合親朋好友聚會小酌；也是頭城少數營業到深夜的店，夜貓族很實用。官網：lucas-bistro.weebly.com,assets/images/lucas-bistro-1.webp｜assets/images/lucas-bistro-2.webp｜assets/images/lucas-bistro-3.webp
TCL-0147,dafa-congee,大發清粥 自助餐,餐廳,清粥小菜／自助餐,宜蘭縣頭城鎮武營里青雲路三段383號,03-977-9668,晚餐｜深夜食堂,,晚餐時段一路開到深夜的在地食堂。,assets/images/dafa-1.webp
TCL-0148,jindao,錦道行,生活服務,制服／繡學號,宜蘭縣頭城鎮城北里沙成路34號,03-977-1655,學生制服｜繡學號,,頭城鎮上購買國高中職制服的重要選擇，也提供繡學號、繡名字服務。,assets/images/jindao-1.webp
TCL-0149,zide-print,自得印刷,生活服務,印刷／影印輸出,宜蘭縣頭城鎮城南里開蘭路86號,03-978-2968,印刷｜影印｜檔案輸出,,頭城各店家、學校與活動大量印刷的實用選擇。可加老闆娘 LINE 直接傳待印檔案，再到店取件；各種影印輸出的疑難雜症也常能處理，甚至可詢問股東會紀念品代領服務。,assets/images/zide-print-1.webp
TCL-0150,sheraton-ice,喜來登冰城 麵線,點心,冰品／麵線,宜蘭縣頭城鎮城西里開蘭路18號,03-977-6029,冰品｜麵線｜在地老店,,原本是西裝店的副業，後來越做越受歡迎，現在由第二代女兒經營。綿綿冰、福肉凍、杏仁凍、燒仙草、麵線都有，冬天甚至還有湯圓。,assets/images/sheraton-ice-1.webp｜assets/images/sheraton-ice-2.webp｜assets/images/sheraton-ice-3.webp
TCL-0151,mengda-auto,盟達友汽車修理廠,生活服務,汽車維修保養,宜蘭縣頭城鎮新建里青雲路二段730號,03-978-2963,家族企業｜現金交易,,價格合理、維修保養用心，老闆親切的家族企業。現金交易；等候室有咖啡、茶、餅乾、糖果、水果、大電視與自由時報，廁所也很乾淨。,assets/images/mengda-1.webp
TCL-0152,sea-day-breakfast,海日子早餐吧,餐廳,早餐／早午餐,宜蘭縣頭城鎮青雲路三段157號,03-977-8116,早餐｜早午餐,,平日 08:00–13:30、假日 08:00–14:00，星期三、四公休。,assets/images/sea-day-1.webp｜assets/images/sea-day-2.webp｜assets/images/sea-day-3.webp
TCL-0153,kavalan-computer,噶瑪蘭電腦 數位影像輸出,生活服務,電腦維修／數位輸出,宜蘭縣頭城鎮拔雅里復興路52之2號,03-977-7755／0982-185-600,電腦維修｜數位輸出｜回收,,電腦維修與回收之外也有數位影像輸出。主機／筆電100元、螢幕50元、印表機30元；價格與服務請先電話確認。,assets/images/kavalan-computer-1.webp
TCL-0154,jinfeng-recycle,金峰企業社,生活服務,資源回收,宜蘭縣頭城鎮武營里青雲路三段323巷13號,暫無,資源回收｜電器回收,,金屬、電器、紙類回收。鎮上容易抵達，電器品項多數都有收。,assets/images/jinfeng-recycle-1.webp
TCL-0155,zhaoren-clinic,照仁診所,醫療照護,醫療／診所,宜蘭縣頭城鎮拔雅里吉祥路88巷27號,03-977-4133,醫療｜慢性病｜家庭診所,,李醫師親切，許多長輩很信任。慢性病、一般感冒，以及兒童發燒、感冒、流感、跌傷等都會看。星期一早診常超過100人，建議提早到診所或當天提早電話預約。,assets/images/zhaoren-1.webp
TCL-0156,cixin-clinic,慈心診所,醫療照護,醫療／皮膚耳鼻喉,宜蘭縣頭城鎮城北里開蘭路183號,03-978-9123,醫療｜星期日看診｜皮膚科,,鎮上少數星期日仍有看診的診所，醫師親切，可處理皮膚科相關問題，也看耳鼻喉、感冒等。就在 E世代隔壁，富美香雞排也在附近。,assets/images/cixin-1.webp
TCL-0157,weixin-appliance,維新電器,居家修繕,冷氣／家電維修,宜蘭縣頭城鎮城南里東五巷4-1號,0905-508-890,冷氣維修｜家電維修｜電話預約,,冷氣安裝、冷氣維修、熱水器及各式家電維修。聯絡人王凱霖（小胖），也是城南里的鎮民代表。沒有固定營業時間，先打電話約好時間即可。,assets/images/weixin-1.webp
TCL-0158,tienda-access,添大興業,醫療照護,無障礙設備,宜蘭縣頭城鎮和平街70號,03-9770-189,無障礙｜斜坡板,,提供無障礙斜坡板。傳真 03-2166-858；電子郵件 jameslin@tienta.com.tw。,assets/images/tienda-access-1.webp
TCL-0159,chengkung-plumbing,成功水電工程行,居家修繕,水電工程,宜蘭縣頭城鎮,0981-383-008,水電｜老宅翻修｜證照,,新建案水電工程、老宅翻修、老舊線路更換、高低壓用電申請、自來水申請、衛浴設備燈具安裝、瓦斯管路配置、家庭水電查修、監視器、自動控制與機電整合。聯絡人吳凰源，請來電預約。具乙級室內配線士、甲種電匠、工業配線士及自來水管相關證照。統編87384897。,assets/images/chengkung-plumbing-1.webp
TCL-0160,keitin-surveillance,數位監控系統｜李楷廷（阿倫）,居家修繕,監視器／網路配線,宜蘭縣頭城鎮下埔里下埔路57之3號,0916-250-657,監視器｜網路配線｜水電維修,,監視器系統、遠端監控監聽、設計規劃安裝、水電維護維修及網路架設配線。Email：thekeitin@yahoo.com；LINE：thekeitin。,assets/images/keitin-1.webp
TCL-0161,gongcun-design,宮村室內裝修設計工程有限公司,居家修繕,室內裝修／工程管理,宜蘭縣頭城鎮青雲路二段723號,0983-338-147,室內裝修｜工程整合,,室內裝修設計、建築外觀設計及工程管理顧問。聯絡人林銘慶，LINE：0983338147。有完整工程團隊，可一次協調泥作、木作、冷氣、鋁門窗、垃圾清運等工種；專業好溝通、價格合理，大小工程都很放心。,assets/images/gongcun-1.webp
TCL-0162,jinli-curtain,金利屋窗簾,居家修繕,窗簾／壁紙地毯,宜蘭縣頭城鎮開蘭路249號,0935-088-467,窗簾｜到府丈量,,壁紙、地毯、塑膠拉門、塑膠地磚、窗簾及到府丈量估價。頭城少數窗簾行，款式多、施工迅速、價格合理，可先到店面挑款。聯絡人林文仲；LINE：0935088467。,assets/images/jinli-curtain-1.webp
TCL-0163,changhong-window,長弘鋁門窗,居家修繕,鋁門窗／氣密窗,宜蘭縣頭城鎮金面路202-7號,0917-739-990,鋁門窗｜氣密窗｜電話預約,,防盜靜音格子窗、防颱百葉窗、鋁格網、造型鋁格柵、防盜窗、造型門、隱藏式紗窗門、舊窗換新窗、陽台凸窗及採光罩。建議先電話預約。聯絡人莊宏琦。,assets/images/changhong-1.webp
TCL-0164,xu-wenbin-taxi,徐文彬計程車,交通接送,計程車／夜間叫車,宜蘭縣頭城鎮,0916-220-000,計程車｜夜間叫車｜包車,,頭城地區包車服務及夜間叫車，服務時間 14:00–02:00。車牌 TDH-0068。,assets/images/xu-wenbin-1.webp
TCL-0165,airport-charter,機場接送、包車旅遊,交通接送,機場接送／包車,宜蘭縣頭城鎮,0953-965-988,機場接送｜包車旅遊,,頭城往返桃園機場，除了自己開車與大眾運輸之外的第三個選擇。老闆是大坑人，使用大型賓士廂型車。2026/08/20價格：單趟2500元、來回5000元；3個點內接送不加價，沒有夜間加價，農曆過年期間會加價。,assets/images/airport-charter.webp
